id_municipio,nome_municipio,ano,id_meta_indicador,populacao_alvo,matriculas,percentual_meta,taxa_execucao_meta,taxa_matriculas,deficit_absoluto,deficit_meta
1200203,Cruzeiro do Sul,2023,1.2,6544,1878,0.5,0.573960880195599,0.2869804400977995,4666,1394
1200252,Epitaciolândia,2019,1.2,1284,275,0.5,0.42834890965732086,0.21417445482866043,1009,367
1200252,Epitaciolândia,2020,1.2,1304,267,0.5,0.40950920245398775,0.20475460122699388,1037,385
1200252,Epitaciolândia,2021,1.2,1323,175,0.5,0.26455026455026454,0.13227513227513227,1148,486
1200252,Epitaciolândia,2022,1.2,1308,229,0.5,0.35015290519877673,0.17507645259938837,1079,425
1200252,Epitaciolândia,2023,1.2,1342,235,0.5,0.3502235469448584,0.1751117734724292,1107,436
1200302,Feijó,2019,1.2,3043,0,0.5,0,0,3043,1522
1200302,Feijó,2020,1.2,3053,170,0.5,0.11136586963642318,0.05568293481821159,2883,1356
1200302,Feijó,2021,1.2,3061,168,0.5,0.10976804965697484,0.05488402482848742,2893,1362
1200302,Feijó,2022,1.2,3100,181,0.5,0.1167741935483871,0.05838709677419355,2919,1369
1200302,Feijó,2023,1.2,3197,264,0.5,0.16515483265561465,0.08257741632780732,2933,1334
1200328,Jordão,2019,1.2,919,238,0.5,0.5179542981501633,0.2589771490750816,681,222
1200328,Jordão,2020,1.2,936,186,0.5,0.3974358974358974,0.1987179487179487,750,282
1200328,Jordão,2021,1.2,953,209,0.5,0.4386149003147954,0.2193074501573977,744,268
1200328,Jordão,2022,1.2,1019,219,0.5,0.42983316977428854,0.21491658488714427,800,290
1200328,Jordão,2023,1.2,1050,222,0.5,0.4228571428571429,0.21142857142857144,828,303
1200344,Manoel Urbano,2019,1.2,744,121,0.5,0.32526881720430106,0.16263440860215053,623,251
1200344,Manoel Urbano,2020,1.2,753,120,0.5,0.3187250996015936,0.1593625498007968,633,256
1200344,Manoel Urbano,2021,1.2,763,127,0.5,0.3328964613368283,0.16644823066841416,636,254
1200344,Manoel Urbano,2022,1.2,943,138,0.5,0.2926829268292683,0.14634146341463414,805,334
1200344,Manoel Urbano,2023,1.2,974,180,0.5,0.36960985626283366,0.18480492813141683,794,307
1200351,Marechal Thaumaturgo,2019,1.2,1766,341,0.5,0.38618346545866367,0.19309173272933183,1425,542
1200351,Marechal Thaumaturgo,2020,1.2,1806,231,0.5,0.2558139534883721,0.12790697674418605,1575,672
1200351,Marechal Thaumaturgo,2021,1.2,1847,279,0.5,0.30211153221440173,0.15105576610720087,1568,644
1200351,Marechal Thaumaturgo,2022,1.2,1600,334,0.5,0.4175,0.20875,1266,466
1200351,Marechal Thaumaturgo,2023,1.2,1640,285,0.5,0.3475609756097561,0.17378048780487804,1355,535
1200336,Mâncio Lima,2019,1.2,1427,455,0.5,0.6377014716187807,0.31885073580939033,972,258
1200336,Mâncio Lima,2020,1.2,1452,453,0.5,0.6239669421487604,0.3119834710743802,999,273
1200336,Mâncio Lima,2021,1.2,1477,503,0.5,0.6811103588354773,0.34055517941773866,974,236
1200336,Mâncio Lima,2022,1.2,1451,531,0.5,0.7319090282563749,0.36595451412818747,920,194
1200336,Mâncio Lima,2023,1.2,1490,680,0.5,0.912751677852349,0.4563758389261745,810,65
1200385,Plácido de Castro,2019,1.2,1354,154,0.5,0.2274741506646972,0.1137370753323486,1200,523
1200385,Plácido de Castro,2020,1.2,1368,147,0.5,0.2149122807017544,0.1074561403508772,1221,537
1200385,Plácido de Castro,2021,1.2,1381,177,0.5,0.25633598841419264,0.12816799420709632,1204,514
1200385,Plácido de Castro,2022,1.2,1135,157,0.5,0.27665198237885463,0.13832599118942732,978,410
1200385,Plácido de Castro,2023,1.2,1154,185,0.5,0.32062391681109187,0.16031195840554593,969,392
1200807,Porto Acre,2019,1.2,1274,0,0.5,0,0,1274,637
1200807,Porto Acre,2020,1.2,1296,0,0.5,0,0,1296,648
1200807,Porto Acre,2021,1.2,1317,284,0.5,0.4312832194381169,0.21564160971905846,1033,374
1200807,Porto Acre,2022,1.2,1149,266,0.5,0.4630113141862489,0.23150565709312446,883,308
1200807,Porto Acre,2023,1.2,1175,349,0.5,0.5940425531914894,0.2970212765957447,826,238
1200393,Porto Walter,2019,1.2,1191,193,0.5,0.3240973971452561,0.16204869857262805,998,402
1200393,Porto Walter,2020,1.2,1217,132,0.5,0.21692686935086278,0.10846343467543139,1085,476
1200393,Porto Walter,2021,1.2,1242,341,0.5,0.5491143317230274,0.2745571658615137,901,280
1200393,Porto Walter,2022,1.2,1067,295,0.5,0.5529522024367385,0.27647610121836924,772,238
1200393,Porto Walter,2023,1.2,1094,353,0.5,0.6453382084095064,0.3226691042047532,741,194
1200401,Rio Branco,2019,1.2,23276,5549,0.5,0.4768001374806668,0.2384000687403334,17727,6089
1200401,Rio Branco,2020,1.2,23625,5398,0.5,0.456973544973545,0.2284867724867725,18227,6414
1200401,Rio Branco,2021,1.2,23970,4742,0.5,0.3956612432206925,0.19783062161034626,19228,7243
1200401,Rio Branco,2022,1.2,20844,5270,0.5,0.5056611015160238,0.2528305507580119,15574,5152
1200401,Rio Branco,2023,1.2,21504,5229,0.5,0.486328125,0.2431640625,16275,5523
1200427,Rodrigues Alves,2019,1.2,1513,846,0.5,1.118307997356246,0.559153998678123,667,0
1200427,Rodrigues Alves,2020,1.2,1547,815,0.5,1.0536522301228184,0.5268261150614092,732,0
1200427,Rodrigues Alves,2021,1.2,1580,1014,0.5,1.2835443037974683,0.6417721518987342,566,0
1200427,Rodrigues Alves,2022,1.2,1194,1031,0.5,1.726968174204355,0.8634840871021775,163,0
1200427,Rodrigues Alves,2023,1.2,1218,1021,0.5,1.6765188834154352,0.8382594417077176,197,0
1200435,Santa Rosa do Purus,2019,1.2,841,78,0.5,0.18549346016646848,0.09274673008323424,763,342
1200435,Santa Rosa do Purus,2020,1.2,864,68,0.5,0.1574074074074074,0.0787037037037037,796,364
1200435,Santa Rosa do Purus,2021,1.2,887,75,0.5,0.16910935738444194,0.08455467869222097,812,368
1200435,Santa Rosa do Purus,2022,1.2,865,101,0.5,0.23352601156069364,0.11676300578034682,764,332
1200435,Santa Rosa do Purus,2023,1.2,892,42,0.5,0.09417040358744394,0.04708520179372197,850,404
1200500,Sena Madureira,2019,1.2,3210,351,0.5,0.21869158878504674,0.10934579439252337,2859,1254
1200500,Sena Madureira,2020,1.2,3257,315,0.5,0.1934295363831747,0.09671476819158735,2942,1314
1200500,Sena Madureira,2021,1.2,3303,226,0.5,0.13684529215864366,0.06842264607932183,3077,1426
1200500,Sena Madureira,2022,1.2,2895,336,0.5,0.23212435233160622,0.11606217616580311,2559,1112
1200500,Sena Madureira,2023,1.2,2985,389,0.5,0.2606365159128978,0.1303182579564489,2596,1104
1200450,Senador Guiomard,2019,1.2,1453,307,0.5,0.4225739848589126,0.2112869924294563,1146,420
1200450,Senador Guiomard,2020,1.2,1466,350,0.5,0.47748976807639837,0.23874488403819918,1116,383
1200450,Senador Guiomard,2021,1.2,1480,323,0.5,0.43648648648648647,0.21824324324324323,1157,417
1200450,Senador Guiomard,2022,1.2,1354,365,0.5,0.5391432791728212,0.2695716395864106,989,312
1200450,Senador Guiomard,2023,1.2,1382,381,0.5,0.5513748191027497,0.27568740955137483,1001,310
1200609,Tarauacá,2019,1.2,3642,209,0.5,0.11477210323997804,0.05738605161998902,3433,1612
1200609,Tarauacá,2020,1.2,3692,268,0.5,0.14517876489707476,0.07258938244853738,3424,1578
1200609,Tarauacá,2021,1.2,3742,242,0.5,0.1293425975414217,0.06467129877071084,3500,1629
1200609,Tarauacá,2022,1.2,3719,302,0.5,0.16240924979833288,0.08120462489916644,3417,1558
1200609,Tarauacá,2023,1.2,3849,317,0.5,0.16471810859963626,0.08235905429981813,3532,1608
1200708,Xapuri,2019,1.2,1347,241,0.5,0.3578322197475872,0.1789161098737936,1106,432
1200708,Xapuri,2020,1.2,1366,243,0.5,0.3557833089311859,0.17789165446559296,1123,440
1200708,Xapuri,2021,1.2,1385,184,0.5,0.2657039711191336,0.1328519855595668,1201,508
1200708,Xapuri,2022,1.2,1272,201,0.5,0.3160377358490566,0.1580188679245283,1071,435
1200708,Xapuri,2023,1.2,1301,210,0.5,0.3228285933897002,0.1614142966948501,1091,440
1200013,Acrelândia,2019,2.1,2466,2325,1,0.9428223844282239,0.9428223844282239,141,141
1200013,Acrelândia,2020,2.1,2503,2346,1,0.9372752696763883,0.9372752696763883,157,157
1200013,Acrelândia,2021,2.1,2541,2253,1,0.8866587957497049,0.8866587957497049,288,288
1200013,Acrelândia,2022,2.1,2266,2236,1,0.9867608120035305,0.9867608120035305,30,30
1200013,Acrelândia,2023,2.1,2317,2157,1,0.9309451877427708,0.9309451877427708,160,160
